slno,Name_of_University,Type_of_University
1,"Bangalore University, Bangalore",PA
2,Bengaluru City University,PA
3,Bengaluru North University,PA
4,"Davangere University, Davangere",PA
5,"Gulbarga University, Gulbarga",PA
6,Karnataka Sanskrit University,PA
7,"Karnataka State Women University, Bijapur",PA
8,"Karnataka University, Dharwad",PA
9,"Kuvempu University, Shankaraghatta, Shimoga",PA
10,"Mangalore University, Mangalore",PA
11,"Rani Channamma University, Belagavi",PA
12,"Tumkur University, Tumkur",PA
13,"University of Mysore , Mysore",PA
14,"Vesveswaraiah Technological University, Belgaum",PA
15,"Vijayanagara Sri Krishnadevaraya University, Bellary",PA
16,"University of Agricultural Science, Raichur",PA
17,"Karnataka State Open University, Mysore",PN
18,"Kannada University, Hampi, Kamalapura",PN
19,"Karnataka Janapada Vishwavidyalaya, Gotagodi",PN
20,Karnataka State Dr. Gangubai Hangal Music And Performing Arts University,PN
21,Maharani Cluster University,PN
22,Mandya University,PN
23,Nrupathunga University,PN
24,Dr .B. R. Ambedkar School of Economics University,PN
26,Adichunchanagiri University,HP
27,Alliance University. Bangalore,HP
28,"Azim Premji University, Bangalore",HP
29,"CMR University, Bangalore",HP
30,Dayananda Sagar University,HP
31,"Garden City University, Bangalore",HP
32,"JSS Science And Technology University, Mysore",HP
33,K.L.E Technological University,HP
34,"Khaja Bandanawaz University, Gulbarga",HP
35,"M.S. Ramaiah University Of Applied Sciences, Bangalore",HP
36,"PES University, Banglore",HP
37,"Presidency University , Bengaluru",HP
38,"Reva University, Bangalore",HP
39,"Sharanabasava University, Kalaburagi",HP
40,Shri Dharmasthala Manjunatheshwara University,HP
41,"Srinivas University, Mangalore",HP
42,The University Of Trans-Disciplinary Health Sciences And Technology,HP
44,"B.L.D.E. University, Bijapur",D
45,"Christ University, Bangalore",D
46,"International Institute Of Information Technology, Bangalore",D
47,"Indian Institute Of Science, Bangalore",D
48,"Jain University,Bangalore",D
49,"Jawaharlal Nehru Centre For Advanced Scientific Research, Banaglore",D
50,Jss Academy Of Higher Education & Research,D
51,"K.L.E. Academy Of Higher Education And Research, Belgaum",D
52,"Manipal Academy Of Higher Education, Manipal",D
53,"Nitte University, Mangalore",D
54,"Sri Devraj Urs Acaedmy Of Highehr Education And Research, Kolar",D
55,"Sri Siddharatha Academy Of Higher Education, Tumkur",D
56,"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore",D
57,"Yenepoya ( deemed to be University), Deralakatte, Mangalore, Dakshina kannada-575018",D
